ID: 1409.0, actual: neutral, predicted: negative
ID: 1410.0, actual: neutral, predicted: neutral
ID: 1411.0, actual: neutral, predicted: negative
ID: 1412.0, actual: neutral, predicted: negative
ID: 1407.0, actual: neutral, predicted: neutral
ID: 1413.0, actual: neutral, predicted: negative
ID: 1414.0, actual: neutral, predicted: neutral
ID: 1415.0, actual: neutral, predicted: neutral
ID: 1416.0, actual: neutral, predicted: neutral
ID: 1417.0, actual: neutral, predicted: neutral
ID: 1414.0, actual: neutral, predicted: neutral
ID: 1418.0, actual: neutral, predicted: neutral
ID: 1419.0, actual: neutral, predicted: negative
ID: 1420.0, actual: neutral, predicted: neutral
ID: 1421.0, actual: neutral, predicted: negative
ID: 1422.0, actual: neutral, predicted: neutral
ID: 1423.0, actual: neutral, predicted: negative
ID: 1424.0, actual: neutral, predicted: neutral
ID: 1425.0, actual: neutral, predicted: negative
ID: 1426.0, actual: neutral, predicted: neutral
ID: 1427.0, actual: neutral, predicted: neutral
ID: 1367.0, actual: neutral, predicted: neutral
ID: 1428.0, actual: neutral, predicted: neutral
ID: 1429.0, actual: neutral, predicted: negative
ID: 1430.0, actual: neutral, predicted: neutral
ID: 1431.0, actual: neutral, predicted: neutral
ID: 1432.0, actual: neutral, predicted: neutral
ID: 1433.0, actual: neutral, predicted: neutral
ID: 1434.0, actual: neutral, predicted: negative
ID: 1435.0, actual: neutral, predicted: neutral
ID: 1367.0, actual: neutral, predicted: neutral
ID: 1436.0, actual: neutral, predicted: neutral
ID: 1437.0, actual: neutral, predicted: negative
ID: 1438.0, actual: neutral, predicted: neutral
ID: 1439.0, actual: neutral, predicted: neutral
ID: 1440.0, actual: neutral, predicted: neutral
ID: 1441.0, actual: neutral, predicted: neutral
ID: 1442.0, actual: neutral, predicted: neutral
ID: 1443.0, actual: neutral, predicted: neutral
ID: 1444.0, actual: neutral, predicted: neutral
ID: 1445.0, actual: neutral, predicted: negative
ID: 1446.0, actual: neutral, predicted: neutral
ID: 1447.0, actual: neutral, predicted: neutral
ID: 1448.0, actual: neutral, predicted: neutral
ID: 1449.0, actual: neutral, predicted: neutral
ID: 1450.0, actual: neutral, predicted: neutral
ID: 1444.0, actual: neutral, predicted: neutral
ID: 1451.0, actual: neutral, predicted: neutral
ID: 1452.0, actual: neutral, predicted: neutral
ID: 1453.0, actual: neutral, predicted: neutral
ID: 1444.0, actual: neutral, predicted: neutral
ID: 1451.0, actual: neutral, predicted: neutral
ID: 1454.0, actual: neutral, predicted: neutral
ID: 1455.0, actual: neutral, predicted: negative
ID: 1456.0, actual: neutral, predicted: neutral
ID: 1455.0, actual: neutral, predicted: negative
ID: 1457.0, actual: neutral, predicted: neutral
ID: 1458.0, actual: neutral, predicted: neutral
ID: 1459.0, actual: neutral, predicted: neutral
ID: 1460.0, actual: neutral, predicted: neutral
ID: 1461.0, actual: neutral, predicted: neutral
ID: 1462.0, actual: neutral, predicted: neutral
ID: 1463.0, actual: neutral, predicted: neutral
ID: 1464.0, actual: neutral, predicted: neutral
ID: 1465.0, actual: neutral, predicted: neutral
ID: 1454.0, actual: neutral, predicted: neutral
ID: 1365.0, actual: neutral, predicted: neutral
ID: 1466.0, actual: neutral, predicted: neutral
ID: 1467.0, actual: neutral, predicted: negative
ID: 1468.0, actual: neutral, predicted: neutral
ID: 1454.0, actual: neutral, predicted: neutral
ID: 1469.0, actual: neutral, predicted: neutral
ID: 1470.0, actual: neutral, predicted: negative
ID: 1471.0, actual: neutral, predicted: neutral
ID: 1472.0, actual: neutral, predicted: neutral
ID: 1473.0, actual: neutral, predicted: neutral
ID: 1474.0, actual: neutral, predicted: neutral
ID: 1475.0, actual: neutral, predicted: negative
ID: 1476.0, actual: neutral, predicted: neutral
ID: 1477.0, actual: neutral, predicted: neutral
ID: 1478.0, actual: neutral, predicted: neutral
ID: 1479.0, actual: neutral, predicted: neutral
ID: 1480.0, actual: neutral, predicted: neutral
ID: 1460.0, actual: neutral, predicted: neutral
ID: 1481.0, actual: neutral, predicted: neutral
ID: 1482.0, actual: neutral, predicted: neutral
ID: 1483.0, actual: neutral, predicted: neutral
ID: 1484.0, actual: neutral, predicted: neutral
ID: 1485.0, actual: neutral, predicted: neutral
ID: 1486.0, actual: neutral, predicted: negative
ID: 1487.0, actual: neutral, predicted: neutral
ID: 1488.0, actual: neutral, predicted: neutral
ID: 1489.0, actual: neutral, predicted: neutral
ID: 1490.0, actual: neutral, predicted: neutral
ID: 1397.0, actual: neutral, predicted: negative
ID: 1491.0, actual: neutral, predicted: negative
ID: 1492.0, actual: neutral, predicted: negative
ID: 1493.0, actual: neutral, predicted: neutral
ID: 1494.0, actual: neutral, predicted: negative
ID: 1495.0, actual: neutral, predicted: negative
ID: 1496.0, actual: neutral, predicted: neutral
ID: 1497.0, actual: neutral, predicted: negative
ID: 1498.0, actual: neutral, predicted: neutral
ID: 1499.0, actual: neutral, predicted: neutral
ID: 1500.0, actual: neutral, predicted: neutral
ID: 1501.0, actual: neutral, predicted: negative
ID: 1502.0, actual: neutral, predicted: neutral
ID: 1503.0, actual: neutral, predicted: neutral
ID: 1504.0, actual: neutral, predicted: neutral
ID: 1505.0, actual: neutral, predicted: neutral
ID: 1506.0, actual: neutral, predicted: neutral
ID: 1507.0, actual: neutral, predicted: neutral
ID: 1508.0, actual: neutral, predicted: negative
ID: 1509.0, actual: neutral, predicted: neutral
ID: 1510.0, actual: neutral, predicted: neutral
ID: 1511.0, actual: neutral, predicted: negative
ID: 1512.0, actual: neutral, predicted: negative
ID: 1513.0, actual: neutral, predicted: neutral
ID: 1514.0, actual: neutral, predicted: negative
ID: 1515.0, actual: neutral, predicted: negative
ID: 1516.0, actual: neutral, predicted: negative
ID: 1517.0, actual: neutral, predicted: negative
ID: 1518.0, actual: neutral, predicted: negative
ID: 1519.0, actual: neutral, predicted: neutral
ID: 1520.0, actual: neutral, predicted: neutral
ID: 1521.0, actual: neutral, predicted: negative
ID: 1522.0, actual: neutral, predicted: neutral
ID: 1523.0, actual: neutral, predicted: negative
ID: 1524.0, actual: neutral, predicted: neutral
ID: 1525.0, actual: neutral, predicted: negative
ID: 1526.0, actual: neutral, predicted: neutral
ID: 1527.0, actual: neutral, predicted: negative
ID: 1528.0, actual: neutral, predicted: negative
ID: 1529.0, actual: neutral, predicted: neutral
ID: 1530.0, actual: neutral, predicted: neutral
ID: 1531.0, actual: neutral, predicted: negative
ID: 1532.0, actual: neutral, predicted: negative
ID: 1533.0, actual: neutral, predicted: neutral
ID: 1534.0, actual: neutral, predicted: negative
ID: 1532.0, actual: neutral, predicted: negative
ID: 1510.0, actual: neutral, predicted: neutral
ID: 1509.0, actual: neutral, predicted: neutral
ID: 1535.0, actual: neutral, predicted: negative
ID: 1536.0, actual: neutral, predicted: neutral
ID: 1537.0, actual: neutral, predicted: neutral
ID: 1538.0, actual: neutral, predicted: negative
ID: 1539.0, actual: neutral, predicted: neutral
ID: 1540.0, actual: neutral, predicted: neutral
ID: 1541.0, actual: neutral, predicted: negative
ID: 1542.0, actual: neutral, predicted: neutral
ID: 1543.0, actual: neutral, predicted: neutral
ID: 1544.0, actual: neutral, predicted: neutral
ID: 1545.0, actual: neutral, predicted: neutral
ID: 1546.0, actual: neutral, predicted: neutral
ID: 1547.0, actual: neutral, predicted: neutral
ID: 1541.0, actual: neutral, predicted: negative
ID: 1548.0, actual: neutral, predicted: neutral
ID: 1549.0, actual: neutral, predicted: neutral
ID: 1550.0, actual: neutral, predicted: neutral
ID: 1551.0, actual: neutral, predicted: negative
